City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
182,cooma,-36.2333,149.1333,4.2900000000000205,87,79,2.53,AU,1721587354
183,guerrero negro,27.9769,-114.0611,28.340000000000032,53,100,3.32,MX,1721587355
184,port lincoln,-34.7333,135.8667,12.640000000000043,91,94,6.9,AU,1721587356
185,moranbah,-22.0016,148.0466,8.260000000000048,54,0,4.4,AU,1721587357
186,al kharj,24.155,47.3346,37.160000000000025,12,100,2.54,SA,1721587072
187,vyazemskiy,47.5378,134.7525,18.58000000000004,96,8,1.65,RU,1721587360
188,kholmsk,47.0511,142.0569,21.02000000000004,96,100,6.87,RU,1721587361
189,lamar,33.6668,-95.5836,29.379999999999995,70,64,2.69,US,1721587362
190,onega,63.9061,38.1404,14.140000000000043,66,7,3.14,RU,1721587363
191,beyneu,45.3167,55.2,28.08000000000004,43,100,6.05,KZ,1721587364
192,luoyang,34.6836,112.4536,28.08000000000004,90,100,2.47,CN,1721587365
193,uturoa,-16.7333,-151.4333,24.80000000000001,56,99,9.74,PF,1721587366
194,vadso,70.0744,29.7487,16.439999999999998,78,100,1.21,NO,1721587367
195,port douglas,-16.4833,145.4667,17.930000000000007,71,11,2.6,AU,1721587369
196,rio grande,-32.035,-52.0986,18.860000000000014,77,100,1.78,BR,1721587085
197,la passe,45.5549,-0.8967,20.010000000000048,73,89,7.03,FR,1721587371
198,sao martinho,39.5144,-9.1311,22.28000000000003,83,0,3.58,PT,1721587372
199,namibe,-15.1961,12.1522,17.80000000000001,83,95,2.04,AO,1721587373
200,nadym,65.5333,72.5167,9.460000000000036,60,0,3.46,RU,1721587374
201,pisco,-13.7,-76.2167,18.340000000000032,69,2,2.86,PE,1721587375
202,coquimbo,-29.9533,-71.3436,13.050000000000011,77,100,0.46,CL,1721587323
203,west fargo,46.875,-96.9004,29.99000000000001,55,5,1.34,US,1721587378
204,garoowe,8.4054,48.4845,27.410000000000025,57,71,13.24,SO,1721587379
205,port-gentil,-0.7193,8.7815,23.860000000000014,77,10,3.91,GA,1721587380
206,richmond,37.5538,-77.4603,32.860000000000014,62,100,1.34,US,1721586866
207,howard springs,-12.497,131.047,18.82000000000005,75,4,2.64,AU,1721587383
208,touros,-5.1989,-35.4608,26.340000000000032,73,4,7.13,BR,1721587384
209,faro,37.0194,-7.9322,27.879999999999995,58,0,4.45,PT,1721587385
210,harstad,68.799,16.5293,24.340000000000032,59,5,3.58,NO,1721587387
211,miracema do tocantins,-9.5618,-48.3967,34.64000000000004,18,99,3.97,BR,1721587388
212,kharp,66.8014,65.8081,10.430000000000007,66,60,2.31,RU,1721587389
213,luba,3.4568,8.5547,25.100000000000023,82,63,3.0,GQ,1721587391
214,keflavik,64.0049,-22.5624,9.810000000000002,84,8,9.62,IS,1721587392
215,tindouf,27.6711,-8.1474,42.32000000000005,8,0,2.51,DZ,1721587393
216,kabalo,-6.05,26.9167,28.83000000000004,31,0,0.47,CD,1721587395
217,potosi,-19.5836,-65.7531,14.050000000000011,13,0,4.76,BO,1721587396
218,ma'rib,15.4591,45.3253,34.98000000000002,10,100,3.46,YE,1721587397
219,primorsk,46.7348,36.3443,26.08000000000004,45,25,2.25,UA,1721587399
220,pimenta bueno,-11.6725,-61.1936,36.94,15,81,1.57,BR,1721587400
221,argostolion,38.1811,20.489,25.560000000000002,84,0,2.06,GR,1721587401
222,puerto madryn,-42.7692,-65.0385,16.370000000000005,29,0,5.41,AR,1721587402
223,richards bay,-28.783,32.0377,17.720000000000027,83,92,1.56,ZA,1721587403
224,lazaro cardenas,17.9583,-102.2,30.560000000000002,63,88,4.89,MX,1721587404
225,rongelap,11.1635,166.8941,28.120000000000005,82,17,6.98,MH,1721587405
226,gedzhukh,42.1279,48.0647,24.07000000000005,57,8,2.23,RU,1721587407
227,frontera,26.9333,-101.45,31.610000000000014,48,0,2.24,MX,1721587155
228,sitka,57.0531,-135.33,14.920000000000016,88,100,1.37,US,1721587409
229,pedernales,18.0384,-71.744,31.910000000000025,61,57,3.76,DO,1721587410
230,kalengwa,-13.4659,25.0027,17.870000000000005,27,8,2.23,ZM,1721587411
231,aral,40.5156,81.2636,28.310000000000002,29,97,4.69,CN,1721587412
232,saint-jean-de-luz,43.3891,-1.6581,19.950000000000045,80,93,3.12,FR,1721587413
233,aswan,24.0934,32.907,37.200000000000045,13,4,4.56,EG,1721587193
234,broome,42.2506,-75.833,28.82000000000005,47,100,1.79,US,1721587416
235,betioky,-23.7167,44.3833,18.460000000000036,64,0,4.28,MG,1721587417
236,turinskaya sloboda,57.6232,64.3858,11.310000000000002,87,100,3.23,RU,1721587418
237,kitgum,3.2783,32.8867,19.75,95,100,1.33,UG,1721587419
238,nishinoomote,30.7333,131.0,27.960000000000036,86,0,2.91,JP,1721587420
239,lensk,60.7253,114.9278,17.090000000000032,76,8,1.49,RU,1721587421
240,roma,43.2128,-75.4557,28.310000000000002,60,91,0.89,US,1721587422
241,kruisfontein,-34.0033,24.7314,7.710000000000036,84,0,2.14,ZA,1721587423
242,sur,22.5667,59.5289,33.53000000000003,52,100,5.22,OM,1721587425
243,kappeln,54.6612,9.9313,19.810000000000002,95,100,8.14,DE,1721587426
244,port macquarie,-31.4333,152.9167,8.370000000000005,75,0,0.89,AU,1721587427
245,rio verde de mato grosso,-18.9181,-54.8442,32.85000000000002,15,0,3.07,BR,1721587428
246,ihsaniye,40.6909,29.8347,26.900000000000034,67,0,3.09,TR,1721587429
247,okha,53.5739,142.9478,13.840000000000032,98,100,1.51,RU,1721587430
248,'alaqahdari dishu,30.4374,63.313,35.02000000000004,11,91,6.73,AF,1721587431
249,sungai penuh,-2.0833,101.3833,19.470000000000027,95,94,0.46,ID,1721587432
250,acapulco de juarez,16.8634,-99.8901,26.140000000000043,72,100,1.8,MX,1721587420
251,whitecourt,54.1502,-115.6855,31.24000000000001,39,42,3.76,CA,1721587435
252,bucerias,20.75,-105.3333,31.100000000000023,69,71,2.1,MX,1721587437
253,praia da vitoria,38.7333,-27.0667,26.53000000000003,77,70,1.29,PT,1721587438
254,afif,23.9065,42.9172,33.28000000000003,11,100,5.7,SA,1721587441
255,acara,-1.9608,-48.1967,35.04000000000002,28,7,2.03,BR,1721587442
256,lebu,-37.6167,-73.65,10.79000000000002,61,4,3.34,CL,1721587443
257,pijijiapan,15.7011,-93.23,30.850000000000023,71,78,3.68,MX,1721587218
258,mahina,-17.5065,-149.489,25.420000000000016,47,62,11.61,PF,1721587445
259,amga,60.8953,131.9608,10.920000000000016,97,22,0.58,RU,1721587446
260,seaside,36.6111,-121.8516,17.180000000000007,83,13,3.13,US,1721587161
261,saint-philippe,-21.3585,55.7679,18.390000000000043,82,35,2.35,RE,1721587448
262,tazovsky,67.4667,78.7,5.760000000000048,70,8,3.67,RU,1721587450
263,balkanabat,39.5108,54.3671,32.93000000000001,28,33,4.44,TM,1721587451
264,kanniyakumari,8.0833,77.5667,26.03000000000003,78,100,6.19,IN,1721587452
265,st. john's,47.5649,-52.7093,21.610000000000014,65,100,5.33,CA,1721587252
266,la ronge,55.1001,-105.2842,25.350000000000023,49,39,3.57,CA,1721587454
267,baharly,38.4362,57.4316,32.870000000000005,18,0,0.77,TM,1721587455
268,camargo,27.6667,-105.1667,32.54000000000002,26,95,3.57,MX,1721587456
269,petawawa,45.9001,-77.3328,22.660000000000025,47,0,0.89,CA,1721587334
270,santa vitoria do palmar,-33.5189,-53.3681,17.150000000000034,81,97,2.09,BR,1721587460
271,greenville,35.6127,-77.3663,31.180000000000007,75,97,0.89,US,1721587461
272,fairfield,41.2668,-73.3162,30.420000000000016,52,100,1.39,US,1721587288
273,agropoli,40.3469,14.9966,24.930000000000007,74,0,1.22,IT,1721587463
274,dhromolaxia,34.8755,33.5868,29.840000000000032,84,0,0.89,CY,1721587464
275,encruzilhada do sul,-30.5439,-52.5219,18.700000000000045,83,100,2.19,BR,1721587465
276,port said,31.2565,32.2841,28.360000000000014,81,0,7.72,EG,1721587467
277,kalemie,-5.9475,29.1947,23.200000000000045,60,6,1.49,CD,1721587468
278,cockburn town,21.4612,-71.1419,28.32000000000005,83,100,7.59,TC,1721587469
279,road town,18.4167,-64.6167,27.54000000000002,74,1,8.87,VG,1721587470
280,klichaw,53.4928,29.3352,17.060000000000002,74,0,1.0,BY,1721587471
281,san salvador de jujuy,-24.1946,-65.2971,18.700000000000045,46,0,3.86,AR,1721587222
282,kununurra,-15.7667,128.7333,15.230000000000018,32,58,3.14,AU,1721587473
283,boa vista,2.8197,-60.6733,29.33000000000004,67,80,0.87,BR,1721587474
284,cidreira,-30.1811,-50.2056,19.150000000000034,74,100,1.46,BR,1721587476
285,lata,40.1629,-8.3327,25.510000000000048,56,0,2.3,PT,1721587477
286,mawu,34.4307,104.9176,16.52000000000004,97,99,1.47,CN,1721587478
287,enriquillo,17.9,-71.2333,30.370000000000005,65,3,5.56,DO,1721587479
288,glendive,47.1053,-104.7125,32.610000000000014,24,2,1.25,US,1721587480
289,vila franca do campo,37.7167,-25.4333,25.04000000000002,73,33,2.71,PT,1721587481
290,semey,50.4111,80.2275,20.850000000000023,66,92,2.08,KZ,1721587482
291,belabo,4.9333,13.3,21.590000000000032,88,100,0.7,CM,1721587483
292,nguigmi,14.2495,13.1092,31.560000000000002,51,90,1.36,NE,1721587485
293,pokhara,28.2333,83.9833,22.660000000000025,89,100,0.52,NP,1721587141
294,kodinsk,58.6881,99.1844,16.710000000000036,96,0,1.14,RU,1721587488
295,alotau,-10.3069,150.4462,22.390000000000043,96,98,1.74,PG,1721587489
296,pedro juan caballero,-22.5472,-55.7333,28.05000000000001,23,0,3.08,PY,1721587430
297,shijiazhuang,38.0414,114.4786,29.480000000000018,84,4,0.52,CN,1721587491
298,celestun,20.8667,-90.4,32.60000000000002,60,100,4.31,MX,1721587493
299,palu,-0.8917,119.8707,24.29000000000002,97,97,1.48,ID,1721587494
300,santana,-0.0583,-51.1817,32.410000000000025,47,24,2.63,BR,1721587495
